[ToPy Problem Definition File v2007]
# TPD file generated by tpd-generator.py

PROB_NAME  : bridge_f_2.0_p_1.0
PROB_TYPE  : comp
VOL_FRAC   : 0.4
NUM_ITER   : 100
ETA        : 0.5
ELEM_K     : Q4
FILT_RAD   : 2
P_FAC      : 1.0
P_HOLD     : 10
P_MAX      : 4.0
P_INCR     : 0.1
P_CON      : 1

DOF_PN     : 2
NUM_ELEM_X : 1201
NUM_ELEM_Y : 200
NUM_ELEM_Z : 0
PASV_ELEM  : 120001
FXTR_NODE_Y: 201;241602
LOAD_NODE_Y: 120002
LOAD_VALU_Y: 1


TPD file name: bridge_f_2.0_p_1.0.tpd (v2007)

	ToPy warning: Rigid body motion in 2D is possible!

===============================================================================

```
Domain discretisation (NUM_ELEM_X x NUM_ELEM_Y) = 1201 x 200
Element type (ELEM_K) = Q4
Filter radius (FILT_RAD) = 2.0
Number of iterations (NUM_ITER) = 100
Problem type (PROB_TYPE) = comp
Problem name (PROB_NAME) = bridge_f_2.0_p_1.0
GSF not active
Damping factor (ETA) = 0.50
Passive elements (PASV_ELEM) specified
No active elements (ACTV_ELEM) specified
```

-------------------------------------------------------------------------------
 Iter | Obj. func.   | Vol.  | Change     | P_FAC | Q_FAC | Ave ETA | S-V frac. 
 ----:|-------------:|------:|-----------:|------:|------:|--------:|---------:
   1  | 1.653052e+02 | 0.400 | 3.9900e-01 | 1.000 | 1.000 |  0.500  |  0.000 
   2  | 1.244254e+02 | 0.400 | 2.0000e-01 | 1.000 | 1.000 |  0.500  |  0.000 
   3  | 1.086273e+02 | 0.400 | 2.0000e-01 | 1.000 | 1.000 |  0.500  |  0.095 
   4  | 1.005749e+02 | 0.400 | 1.9913e-01 | 1.000 | 1.000 |  0.500  |  0.134 
   5  | 9.956910e+01 | 0.400 | 1.3792e-01 | 1.000 | 1.000 |  0.500  |  0.153 
   6  | 9.928245e+01 | 0.400 | 1.0718e-01 | 1.000 | 1.000 |  0.500  |  0.166 
   7  | 9.915036e+01 | 0.400 | 8.8567e-02 | 1.000 | 1.000 |  0.500  |  0.174 
   8  | 9.907467e+01 | 0.400 | 6.9502e-02 | 1.000 | 1.000 |  0.500  |  0.181 
   9  | 9.902645e+01 | 0.400 | 5.6595e-02 | 1.000 | 1.000 |  0.500  |  0.187 
  10  | 9.899360e+01 | 0.400 | 4.7659e-02 | 1.000 | 1.000 |  0.500  |  0.190 
  11  | 9.896955e+01 | 0.400 | 4.0637e-02 | 1.100 | 1.000 |  0.500  |  0.194 
  12  | 1.034227e+02 | 0.400 | 7.4434e-02 | 1.200 | 1.000 |  0.500  |  0.195 
  13  | 1.080710e+02 | 0.400 | 1.2125e-01 | 1.300 | 1.000 |  0.500  |  0.195 
  14  | 1.128778e+02 | 0.400 | 1.5398e-01 | 1.400 | 1.000 |  0.500  |  0.197 
  15  | 1.178202e+02 | 0.400 | 1.6922e-01 | 1.500 | 1.000 |  0.500  |  0.199 
  16  | 1.228634e+02 | 0.400 | 1.7995e-01 | 1.600 | 1.000 |  0.500  |  0.204 
  17  | 1.279571e+02 | 0.400 | 1.9080e-01 | 1.700 | 1.000 |  0.500  |  0.209 
  18  | 1.330377e+02 | 0.400 | 2.0000e-01 | 1.800 | 1.000 |  0.500  |  0.215 
  19  | 1.380327e+02 | 0.400 | 2.0000e-01 | 1.900 | 1.000 |  0.500  |  0.222 
  20  | 1.428686e+02 | 0.400 | 2.0000e-01 | 2.000 | 1.000 |  0.500  |  0.231 
  21  | 1.474748e+02 | 0.400 | 2.0000e-01 | 2.100 | 1.000 |  0.500  |  0.248 
  22  | 1.518601e+02 | 0.400 | 2.0000e-01 | 2.200 | 1.000 |  0.500  |  0.259 
  23  | 1.560858e+02 | 0.400 | 2.0000e-01 | 2.300 | 1.000 |  0.500  |  0.267 
  24  | 1.600130e+02 | 0.400 | 1.9583e-01 | 2.400 | 1.000 |  0.500  |  0.276 
  25  | 1.636081e+02 | 0.400 | 2.0000e-01 | 2.500 | 1.000 |  0.500  |  0.297 
  26  | 1.669717e+02 | 0.400 | 2.0000e-01 | 2.600 | 1.000 |  0.500  |  0.325 
  27  | 1.699085e+02 | 0.400 | 2.0000e-01 | 2.700 | 1.000 |  0.500  |  0.338 
  28  | 1.719048e+02 | 0.400 | 2.0000e-01 | 2.800 | 1.000 |  0.500  |  0.348 
  29  | 1.723152e+02 | 0.400 | 2.0000e-01 | 2.900 | 1.000 |  0.500  |  0.360 
  30  | 1.702028e+02 | 0.400 | 2.0000e-01 | 3.000 | 1.000 |  0.500  |  0.388 
  31  | 1.655337e+02 | 0.400 | 2.0000e-01 | 3.100 | 1.000 |  0.500  |  0.419 
  32  | 1.604859e+02 | 0.400 | 2.0000e-01 | 3.200 | 1.000 |  0.500  |  0.460 
  33  | 1.560086e+02 | 0.400 | 2.0000e-01 | 3.300 | 1.000 |  0.500  |  0.501 
  34  | 1.519140e+02 | 0.400 | 2.0000e-01 | 3.400 | 1.000 |  0.500  |  0.543 
  35  | 1.474203e+02 | 0.400 | 2.0000e-01 | 3.500 | 1.000 |  0.500  |  0.583 
  36  | 1.416890e+02 | 0.400 | 2.0000e-01 | 3.600 | 1.000 |  0.500  |  0.635 
  37  | 1.348010e+02 | 0.400 | 2.0000e-01 | 3.700 | 1.000 |  0.500  |  0.699 
  38  | 1.288942e+02 | 0.400 | 2.0000e-01 | 3.800 | 1.000 |  0.500  |  0.788 
  39  | 1.251865e+02 | 0.400 | 2.0000e-01 | 3.900 | 1.000 |  0.500  |  0.856 
  40  | 1.228341e+02 | 0.400 | 2.0000e-01 | 4.000 | 1.000 |  0.500  |  0.884 
  41  | 1.210923e+02 | 0.400 | 2.0000e-01 | 4.000 | 1.000 |  0.500  |  0.896 
  42  | 1.197839e+02 | 0.400 | 2.0000e-01 | 4.000 | 1.000 |  0.500  |  0.902 
  43  | 1.188717e+02 | 0.400 | 2.0000e-01 | 4.000 | 1.000 |  0.500  |  0.906 
  44  | 1.181124e+02 | 0.400 | 2.0000e-01 | 4.000 | 1.000 |  0.500  |  0.909 
  45  | 1.174542e+02 | 0.400 | 2.0000e-01 | 4.000 | 1.000 |  0.500  |  0.912 
  46  | 1.170365e+02 | 0.400 | 2.0000e-01 | 4.000 | 1.000 |  0.500  |  0.912 
  47  | 1.167337e+02 | 0.400 | 2.0000e-01 | 4.000 | 1.000 |  0.500  |  0.913 
  48  | 1.164477e+02 | 0.400 | 2.0000e-01 | 4.000 | 1.000 |  0.500  |  0.914 
  49  | 1.161542e+02 | 0.400 | 2.0000e-01 | 4.000 | 1.000 |  0.500  |  0.915 
  50  | 1.159285e+02 | 0.400 | 2.0000e-01 | 4.000 | 1.000 |  0.500  |  0.914 
  51  | 1.157939e+02 | 0.400 | 2.0000e-01 | 4.000 | 1.000 |  0.500  |  0.915 
  52  | 1.156301e+02 | 0.400 | 2.0000e-01 | 4.000 | 1.000 |  0.500  |  0.915 
  53  | 1.154463e+02 | 0.400 | 2.0000e-01 | 4.000 | 1.000 |  0.500  |  0.916 
  54  | 1.152245e+02 | 0.400 | 2.0000e-01 | 4.000 | 1.000 |  0.500  |  0.916 
  55  | 1.151730e+02 | 0.400 | 2.0000e-01 | 4.000 | 1.000 |  0.500  |  0.915 
  56  | 1.151218e+02 | 0.400 | 2.0000e-01 | 4.000 | 1.000 |  0.500  |  0.916 
  57  | 1.150366e+02 | 0.400 | 2.0000e-01 | 4.000 | 1.000 |  0.500  |  0.915 
  58  | 1.149090e+02 | 0.400 | 2.0000e-01 | 4.000 | 1.000 |  0.500  |  0.916 
  59  | 1.147182e+02 | 0.400 | 2.0000e-01 | 4.000 | 1.000 |  0.500  |  0.917 
  60  | 1.146586e+02 | 0.400 | 2.0000e-01 | 4.000 | 1.000 |  0.500  |  0.916 
  61  | 1.146185e+02 | 0.400 | 2.0000e-01 | 4.000 | 1.000 |  0.500  |  0.916 
  62  | 1.145640e+02 | 0.400 | 2.0000e-01 | 4.000 | 1.000 |  0.500  |  0.916 
  63  | 1.145007e+02 | 0.400 | 2.0000e-01 | 4.000 | 1.000 |  0.500  |  0.916 
  64  | 1.144304e+02 | 0.400 | 1.9235e-01 | 4.000 | 1.000 |  0.500  |  0.916 
  65  | 1.143406e+02 | 0.400 | 2.0000e-01 | 4.000 | 1.000 |  0.500  |  0.917 
  66  | 1.142901e+02 | 0.400 | 1.9080e-01 | 4.000 | 1.000 |  0.500  |  0.916 
  67  | 1.142730e+02 | 0.400 | 1.9313e-01 | 4.000 | 1.000 |  0.500  |  0.916 
  68  | 1.142481e+02 | 0.400 | 1.7028e-01 | 4.000 | 1.000 |  0.500  |  0.916 
  69  | 1.142187e+02 | 0.400 | 1.5437e-01 | 4.000 | 1.000 |  0.500  |  0.916 
  70  | 1.141862e+02 | 0.400 | 1.9244e-01 | 4.000 | 1.000 |  0.500  |  0.916 
  71  | 1.141464e+02 | 0.400 | 2.0000e-01 | 4.000 | 1.000 |  0.500  |  0.916 
  72  | 1.140945e+02 | 0.400 | 2.0000e-01 | 4.000 | 1.000 |  0.500  |  0.916 
  73  | 1.140284e+02 | 0.400 | 2.0000e-01 | 4.000 | 1.000 |  0.500  |  0.916 
  74  | 1.139829e+02 | 0.400 | 2.0000e-01 | 4.000 | 1.000 |  0.500  |  0.916 
  75  | 1.139745e+02 | 0.400 | 2.0000e-01 | 4.000 | 1.000 |  0.500  |  0.916 
  76  | 1.139579e+02 | 0.400 | 2.0000e-01 | 4.000 | 1.000 |  0.500  |  0.916 
  77  | 1.139399e+02 | 0.400 | 2.0000e-01 | 4.000 | 1.000 |  0.500  |  0.916 
  78  | 1.139210e+02 | 0.400 | 2.0000e-01 | 4.000 | 1.000 |  0.500  |  0.916 
  79  | 1.139054e+02 | 0.400 | 2.0000e-01 | 4.000 | 1.000 |  0.500  |  0.916 
  80  | 1.138890e+02 | 0.400 | 2.0000e-01 | 4.000 | 1.000 |  0.500  |  0.916 
  81  | 1.138742e+02 | 0.400 | 2.0000e-01 | 4.000 | 1.000 |  0.500  |  0.916 
  82  | 1.138567e+02 | 0.400 | 2.0000e-01 | 4.000 | 1.000 |  0.500  |  0.916 
  83  | 1.138358e+02 | 0.400 | 2.0000e-01 | 4.000 | 1.000 |  0.500  |  0.916 
  84  | 1.138024e+02 | 0.400 | 2.0000e-01 | 4.000 | 1.000 |  0.500  |  0.916 
  85  | 1.137484e+02 | 0.400 | 2.0000e-01 | 4.000 | 1.000 |  0.500  |  0.916 
  86  | 1.136958e+02 | 0.400 | 2.0000e-01 | 4.000 | 1.000 |  0.500  |  0.916 
  87  | 1.136761e+02 | 0.400 | 2.0000e-01 | 4.000 | 1.000 |  0.500  |  0.916 
  88  | 1.136599e+02 | 0.400 | 2.0000e-01 | 4.000 | 1.000 |  0.500  |  0.916 
  89  | 1.136464e+02 | 0.400 | 1.2639e-01 | 4.000 | 1.000 |  0.500  |  0.916 
  90  | 1.136382e+02 
