TPD file name: volfrac_0.3_eta_0.1.tpd (v2007)
===============================================================================

```
Domain discretisation (NUM_ELEM_X x NUM_ELEM_Y) = 60 x 20
Element type (ELEM_K) = Q4
Filter radius (FILT_RAD) = 1.5
Number of iterations (NUM_ITER) = 250
Problem type (PROB_TYPE) = comp
Problem name (PROB_NAME) = volfrac_0.3_eta_0.1
Continuation of penalisation factor (P_FAC) not specified
GSF not active
Damping factor (ETA) = 0.10
No passive elements (PASV_ELEM) specified
No active elements (ACTV_ELEM) specified
```

-------------------------------------------------------------------------------
 Iter | Obj. func.   | Vol.  | Change     | P_FAC | Q_FAC | Ave ETA | S-V frac. 
 ----:|-------------:|------:|-----------:|------:|------:|--------:|---------:
   1  | 4.662142e+03 | 0.300 | 1.8452e-01 | 3.000 | 1.000 |  0.100  |  0.000 
   2  | 3.152478e+03 | 0.300 | 1.2788e-01 | 3.000 | 1.000 |  0.100  |  0.000 
   3  | 2.489866e+03 | 0.300 | 1.2164e-01 | 3.000 | 1.000 |  0.100  |  0.000 
   4  | 2.110394e+03 | 0.300 | 1.1768e-01 | 3.000 | 1.000 |  0.100  |  0.000 
   5  | 1.855912e+03 | 0.300 | 1.1546e-01 | 3.000 | 1.000 |  0.100  |  0.000 
   6  | 1.670634e+03 | 0.300 | 1.0555e-01 | 3.000 | 1.000 |  0.100  |  0.001 
   7  | 1.530514e+03 | 0.300 | 9.2353e-02 | 3.000 | 1.000 |  0.100  |  0.002 
   8  | 1.424194e+03 | 0.300 | 7.5796e-02 | 3.000 | 1.000 |  0.100  |  0.003 
   9  | 1.341379e+03 | 0.300 | 6.0488e-02 | 3.000 | 1.000 |  0.100  |  0.004 
  10  | 1.275058e+03 | 0.300 | 5.2994e-02 | 3.000 | 1.000 |  0.100  |  0.011 
  11  | 1.220841e+03 | 0.300 | 5.5924e-02 | 3.000 | 1.000 |  0.100  |  0.019 
  12  | 1.177705e+03 | 0.300 | 5.7469e-02 | 3.000 | 1.000 |  0.100  |  0.022 
  13  | 1.142112e+03 | 0.300 | 4.5847e-02 | 3.000 | 1.000 |  0.100  |  0.028 
  14  | 1.111831e+03 | 0.300 | 3.9462e-02 | 3.000 | 1.000 |  0.100  |  0.032 
  15  | 1.085393e+03 | 0.300 | 3.7813e-02 | 3.000 | 1.000 |  0.100  |  0.037 
  16  | 1.061812e+03 | 0.300 | 2.7952e-02 | 3.000 | 1.000 |  0.100  |  0.043 
  17  | 1.040369e+03 | 0.300 | 2.0400e-02 | 3.000 | 1.000 |  0.100  |  0.047 
  18  | 1.020519e+03 | 0.300 | 1.8973e-02 | 3.000 | 1.000 |  0.100  |  0.052 
  19  | 1.001953e+03 | 0.300 | 1.7609e-02 | 3.000 | 1.000 |  0.100  |  0.057 
  20  | 9.844056e+02 | 0.300 | 1.7529e-02 | 3.000 | 1.000 |  0.100  |  0.060 
  21  | 9.676961e+02 | 0.300 | 1.7427e-02 | 3.000 | 1.000 |  0.100  |  0.068 
  22  | 9.517244e+02 | 0.300 | 1.6901e-02 | 3.000 | 1.000 |  0.100  |  0.072 
  23  | 9.363768e+02 | 0.300 | 1.6452e-02 | 3.000 | 1.000 |  0.100  |  0.075 
  24  | 9.215428e+02 | 0.300 | 1.6621e-02 | 3.000 | 1.000 |  0.100  |  0.082 
  25  | 9.071451e+02 | 0.300 | 1.6684e-02 | 3.000 | 1.000 |  0.100  |  0.083 
  26  | 8.931065e+02 | 0.300 | 1.7171e-02 | 3.000 | 1.000 |  0.100  |  0.086 
  27  | 8.793634e+02 | 0.300 | 1.8048e-02 | 3.000 | 1.000 |  0.100  |  0.089 
  28  | 8.658695e+02 | 0.300 | 1.8853e-02 | 3.000 | 1.000 |  0.100  |  0.098 
  29  | 8.525869e+02 | 0.300 | 1.9550e-02 | 3.000 | 1.000 |  0.100  |  0.104 
  30  | 8.394617e+02 | 0.300 | 2.0083e-02 | 3.000 | 1.000 |  0.100  |  0.112 
  31  | 8.264565e+02 | 0.300 | 2.0421e-02 | 3.000 | 1.000 |  0.100  |  0.115 
  32  | 8.135528e+02 | 0.300 | 2.0614e-02 | 3.000 | 1.000 |  0.100  |  0.123 
  33  | 8.007332e+02 | 0.300 | 2.0731e-02 | 3.000 | 1.000 |  0.100  |  0.131 
  34  | 7.879742e+02 | 0.300 | 2.0629e-02 | 3.000 | 1.000 |  0.100  |  0.138 
  35  | 7.752589e+02 | 0.300 | 2.0325e-02 | 3.000 | 1.000 |  0.100  |  0.142 
  36  | 7.625530e+02 | 0.300 | 1.9989e-02 | 3.000 | 1.000 |  0.100  |  0.147 
  37  | 7.498115e+02 | 0.300 | 1.9961e-02 | 3.000 | 1.000 |  0.100  |  0.150 
  38  | 7.369971e+02 | 0.300 | 2.0286e-02 | 3.000 | 1.000 |  0.100  |  0.153 
  39  | 7.240293e+02 | 0.300 | 2.0637e-02 | 3.000 | 1.000 |  0.100  |  0.158 
  40  | 7.108722e+02 | 0.300 | 2.1158e-02 | 3.000 | 1.000 |  0.100  |  0.163 
  41  | 6.974392e+02 | 0.300 | 2.1188e-02 | 3.000 | 1.000 |  0.100  |  0.166 
  42  | 6.837067e+02 | 0.300 | 2.1804e-02 | 3.000 | 1.000 |  0.100  |  0.171 
  43  | 6.696244e+02 | 0.300 | 2.2938e-02 | 3.000 | 1.000 |  0.100  |  0.182 
  44  | 6.553694e+02 | 0.300 | 2.4118e-02 | 3.000 | 1.000 |  0.100  |  0.190 
  45  | 6.410970e+02 | 0.300 | 2.5145e-02 | 3.000 | 1.000 |  0.100  |  0.195 
  46  | 6.267620e+02 | 0.300 | 2.6185e-02 | 3.000 | 1.000 |  0.100  |  0.198 
  47  | 6.124887e+02 | 0.300 | 2.6848e-02 | 3.000 | 1.000 |  0.100  |  0.194 
  48  | 5.983907e+02 | 0.300 | 2.7259e-02 | 3.000 | 1.000 |  0.100  |  0.198 
  49  | 5.846379e+02 | 0.300 | 2.7675e-02 | 3.000 | 1.000 |  0.100  |  0.210 
  50  | 5.714236e+02 | 0.300 | 2.7564e-02 | 3.000 | 1.000 |  0.100  |  0.217 
  51  | 5.588502e+02 | 0.300 | 2.7431e-02 | 3.000 | 1.000 |  0.100  |  0.222 
  52  | 5.470196e+02 | 0.300 | 2.6176e-02 | 3.000 | 1.000 |  0.100  |  0.231 
  53  | 5.359847e+02 | 0.300 | 2.5493e-02 | 3.000 | 1.000 |  0.100  |  0.237 
  54  | 5.257765e+02 | 0.300 | 2.3995e-02 | 3.000 | 1.000 |  0.100  |  0.248 
  55  | 5.163694e+02 | 0.300 | 2.3356e-02 | 3.000 | 1.000 |  0.100  |  0.261 
  56  | 5.076923e+02 | 0.300 | 2.2583e-02 | 3.000 | 1.000 |  0.100  |  0.274 
  57  | 4.996620e+02 | 0.300 | 2.1810e-02 | 3.000 | 1.000 |  0.100  |  0.287 
  58  | 4.921968e+02 | 0.300 | 2.1657e-02 | 3.000 | 1.000 |  0.100  |  0.297 
  59  | 4.852163e+02 | 0.300 | 2.1993e-02 | 3.000 | 1.000 |  0.100  |  0.304 
  60  | 4.786641e+02 | 0.300 | 2.1724e-02 | 3.000 | 1.000 |  0.100  |  0.309 
  61  | 4.724909e+02 | 0.300 | 2.1271e-02 | 3.000 | 1.000 |  0.100  |  0.318 
