ETA, Objective Function, Solid-void Ratio
1.0, 263.666709993, 0.985833
1.05, 239.300370124, 0.749167
1.1, 241.575015207, 0.732500
1.15, 244.926578094, 0.730833
1.2, 246.841563032, 0.710000
1.25, 248.228600678, 0.697500
1.3, 248.35793783, 0.690833
1.35, 249.671412342, 0.679167
1.4, 251.104196532, 0.675000
1.45, 252.349737196, 0.643333
1.5, 254.348306265, 0.623333
1.55, 255.83559571, 0.606667
1.6, 257.127095196, 0.596667
1.65, 258.234313645, 0.586667
1.7, 259.29082336, 0.568333
1.75, 260.416278284, 0.560833
1.8, 261.349491062, 0.560000
1.85, 262.089494746, 0.557500
1.9, 262.739639212, 0.553333
1.95, 263.329123091, 0.545833
