TPD file name: volfrac_0.4_filtrad_1.1_p_0.500_eta_0.5.tpd (v2007)
===============================================================================

```
Domain discretisation (NUM_ELEM_X x NUM_ELEM_Y) = 60 x 20
Element type (ELEM_K) = Q4
Filter radius (FILT_RAD) = 1.1
Number of iterations (NUM_ITER) = 250
Problem type (PROB_TYPE) = comp
Problem name (PROB_NAME) = volfrac_0.4_filtrad_1.1_p_0.500_eta_0.5
Continuation of penalisation factor (P_FAC) not specified
GSF not active
Damping factor (ETA) = 0.50
No passive elements (PASV_ELEM) specified
No active elements (ACTV_ELEM) specified
```

-------------------------------------------------------------------------------
 Iter | Obj. func.   | Vol.  | Change     | P_FAC | Q_FAC | Ave ETA | S-V frac. 
 ----:|-------------:|------:|-----------:|------:|------:|--------:|---------:
   1  | 1.990303e+02 | 0.400 | 2.0000e-01 | 0.500 | 1.000 |  0.500  |  0.000 
   2  | 1.721602e+02 | 0.400 | 2.0000e-01 | 0.500 | 1.000 |  0.500  |  0.000 
   3  | 1.601709e+02 | 0.400 | 2.0000e-01 | 0.500 | 1.000 |  0.500  |  0.110 
   4  | 1.542805e+02 | 0.400 | 1.2712e-01 | 0.500 | 1.000 |  0.500  |  0.145 
   5  | 1.539111e+02 | 0.400 | 6.7399e-02 | 0.500 | 1.000 |  0.500  |  0.158 
   6  | 1.538184e+02 | 0.400 | 3.6924e-02 | 0.500 | 1.000 |  0.500  |  0.164 
   7  | 1.537874e+02 | 0.400 | 2.1557e-02 | 0.500 | 1.000 |  0.500  |  0.168 
   8  | 1.537750e+02 | 0.400 | 1.3154e-02 | 0.500 | 1.000 |  0.500  |  0.169 
   9  | 1.537694e+02 | 0.400 | 7.9299e-03 | 0.500 | 1.000 |  0.500  |  0.170 
  10  | 1.537666e+02 | 0.400 | 5.6606e-03 | 0.500 | 1.000 |  0.500  |  0.171 
  11  | 1.537651e+02 | 0.400 | 3.9954e-03 | 0.500 | 1.000 |  0.500  |  0.172 
  12  | 1.537643e+02 | 0.400 | 2.7911e-03 | 0.500 | 1.000 |  0.500  |  0.172 
  13  | 1.537638e+02 | 0.400 | 1.9366e-03 | 0.500 | 1.000 |  0.500  |  0.172 
  14  | 1.537635e+02 | 0.400 | 1.3378e-03 | 0.500 | 1.000 |  0.500  |  0.172 
  15  | 1.537633e+02 | 0.400 | 9.2134e-04 | 0.500 | 1.000 |  0.500  |  0.172 
  16  | 1.537632e+02 | 0.400 | 6.3312e-04 | 0.500 | 1.000 |  0.500  |  0.172 
  17  | 1.537631e+02 | 0.400 | 4.3437e-04 | 0.500 | 1.000 |  0.500  |  0.172 
  18  | 1.537630e+02 | 0.400 | 2.9766e-04 | 0.500 | 1.000 |  0.500  |  0.172 
  19  | 1.537630e+02 | 0.400 | 2.0381e-04 | 0.500 | 1.000 |  0.500  |  0.172 
  20  | 1.537630e+02 | 0.400 | 1.3946e-04 | 0.500 | 1.000 |  0.500  |  0.172 
  21  | 1.537630e+02 | 0.400 | 9.5362e-05 | 0.500 | 1.000 |  0.500  |  0.172 
  22  | 1.537629e+02 | 0.400 | 6.5199e-05 | 0.500 | 1.000 |  0.500  |  0.172 
  23  | 1.537629e+02 | 0.400 | 4.4548e-05 | 0.500 | 1.000 |  0.500  |  0.172 
  24  | 1.537629e+02 | 0.400 | 3.0441e-05 | 0.500 | 1.000 |  0.500  |  0.172 
  25  | 1.537629e+02 | 0.400 | 2.0799e-05 | 0.500 | 1.000 |  0.500  |  0.172 
  26  | 1.537629e+02 | 0.400 | 1.4202e-05 | 0.500 | 1.000 |  0.500  |  0.172 
  27  | 1.537629e+02 | 0.400 | 9.6969e-06 | 0.500 | 1.000 |  0.500  |  0.172 
  28  | 1.537629e+02 | 0.400 | 6.6168e-06 | 0.500 | 1.000 |  0.500  |  0.172 
  29  | 1.537629e+02 | 0.400 | 4.5269e-06 | 0.500 | 1.000 |  0.500  |  0.172 
  30  | 1.537629e+02 | 0.400 | 3.0812e-06 | 0.500 | 1.000 |  0.500  |  0.172 
  31  | 1.537629e+02 | 0.400 | 2.1130e-06 | 0.500 | 1.000 |  0.500  |  0.172 
  32  | 1.537629e+02 | 0.400 | 1.4371e-06 | 0.500 | 1.000 |  0.500  |  0.172 
  33  | 1.537629e+02 | 0.400 | 9.8526e-07 | 0.500 | 1.000 |  0.500  |  0.172 
  34  | 1.537629e+02 | 0.400 | 6.6368e-07 | 0.500 | 1.000 |  0.500  |  0.172 
  35  | 1.537629e+02 | 0.400 | 4.6166e-07 | 0.500 | 1.000 |  0.500  |  0.172 
  36  | 1.537629e+02 | 0.400 | 3.2548e-07 | 0.500 | 1.000 |  0.500  |  0.172 
  37  | 1.537629e+02 | 0.400 | 2.2906e-07 | 0.500 | 1.000 |  0.500  |  0.172 
  38  | 1.537629e+02 | 0.400 | 1.6112e-07 | 0.500 | 1.000 |  0.500  |  0.172 
  39  | 1.537629e+02 | 0.400 | 1.1333e-07 | 0.500 | 1.000 |  0.500  |  0.172 
  40  | 1.537629e+02 | 0.400 | 7.9735e-08 | 0.500 | 1.000 |  0.500  |  0.172 
  41  | 1.537629e+02 | 0.400 | 5.6105e-08 | 0.500 | 1.000 |  0.500  |  0.172 
  42  | 1.537629e+02 | 0.400 | 3.9488e-08 | 0.500 | 1.000 |  0.500  |  0.172 
  43  | 1.537629e+02 | 0.400 | 2.7798e-08 | 0.500 | 1.000 |  0.500  |  0.172 
  44  | 1.537629e+02 | 0.400 | 1.9571e-08 | 0.500 | 1.000 |  0.500  |  0.172 
  45  | 1.537629e+02 | 0.400 | 1.3783e-08 | 0.500 | 1.000 |  0.500  |  0.172 
  46  | 1.537629e+02 | 0.400 | 9.7093e-09 | 0.500 | 1.000 |  0.500  |  0.172 
