TPD file name: volfrac_0.4_filtrad_1.1_p_5.000_eta_0.5.tpd (v2007)
===============================================================================

```
Domain discretisation (NUM_ELEM_X x NUM_ELEM_Y) = 60 x 20
Element type (ELEM_K) = Q4
Filter radius (FILT_RAD) = 1.1
Number of iterations (NUM_ITER) = 250
Problem type (PROB_TYPE) = comp
Problem name (PROB_NAME) = volfrac_0.4_filtrad_1.1_p_5.000_eta_0.5
Continuation of penalisation factor (P_FAC) not specified
GSF not active
Damping factor (ETA) = 0.50
No passive elements (PASV_ELEM) specified
No active elements (ACTV_ELEM) specified
```

-------------------------------------------------------------------------------
 Iter | Obj. func.   | Vol.  | Change     | P_FAC | Q_FAC | Ave ETA | S-V frac. 
 ----:|-------------:|------:|-----------:|------:|------:|--------:|---------:
   1  | 1.229276e+04 | 0.400 | 2.0000e-01 | 5.000 | 1.000 |  0.500  |  0.000 
   2  | 8.314359e+03 | 0.400 | 2.0000e-01 | 5.000 | 1.000 |  0.500  |  0.000 
   3  | 4.306656e+03 | 0.400 | 2.0000e-01 | 5.000 | 1.000 |  0.500  |  0.037 
   4  | 2.942817e+03 | 0.400 | 2.0000e-01 | 5.000 | 1.000 |  0.500  |  0.070 
   5  | 2.120912e+03 | 0.400 | 2.0000e-01 | 5.000 | 1.000 |  0.500  |  0.103 
   6  | 1.425691e+03 | 0.400 | 2.0000e-01 | 5.000 | 1.000 |  0.500  |  0.148 
   7  | 9.113766e+02 | 0.400 | 2.0000e-01 | 5.000 | 1.000 |  0.500  |  0.197 
   8  | 5.759826e+02 | 0.400 | 2.0000e-01 | 5.000 | 1.000 |  0.500  |  0.333 
   9  | 4.244796e+02 | 0.400 | 2.0000e-01 | 5.000 | 1.000 |  0.500  |  0.497 
  10  | 3.544632e+02 | 0.400 | 2.0000e-01 | 5.000 | 1.000 |  0.500  |  0.644 
  11  | 3.082210e+02 | 0.400 | 2.0000e-01 | 5.000 | 1.000 |  0.500  |  0.693 
  12  | 2.859243e+02 | 0.400 | 2.0000e-01 | 5.000 | 1.000 |  0.500  |  0.723 
  13  | 2.804495e+02 | 0.400 | 2.0000e-01 | 5.000 | 1.000 |  0.500  |  0.745 
  14  | 2.715879e+02 | 0.400 | 2.0000e-01 | 5.000 | 1.000 |  0.500  |  0.762 
  15  | 2.616067e+02 | 0.400 | 2.0000e-01 | 5.000 | 1.000 |  0.500  |  0.769 
  16  | 2.609991e+02 | 0.400 | 2.0000e-01 | 5.000 | 1.000 |  0.500  |  0.782 
  17  | 2.608405e+02 | 0.400 | 2.0000e-01 | 5.000 | 1.000 |  0.500  |  0.782 
  18  | 2.607006e+02 | 0.400 | 2.0000e-01 | 5.000 | 1.000 |  0.500  |  0.784 
  19  | 2.603738e+02 | 0.400 | 1.7583e-01 | 5.000 | 1.000 |  0.500  |  0.779 
  20  | 2.602832e+02 | 0.400 | 2.0000e-01 | 5.000 | 1.000 |  0.500  |  0.769 
  21  | 2.602149e+02 | 0.400 | 2.0000e-01 | 5.000 | 1.000 |  0.500  |  0.766 
  22  | 2.601927e+02 | 0.400 | 2.0000e-01 | 5.000 | 1.000 |  0.500  |  0.767 
  23  | 2.601761e+02 | 0.400 | 2.0000e-01 | 5.000 | 1.000 |  0.500  |  0.765 
  24  | 2.601038e+02 | 0.400 | 2.0000e-01 | 5.000 | 1.000 |  0.500  |  0.767 
  25  | 2.601866e+02 | 0.400 | 2.0000e-01 | 5.000 | 1.000 |  0.500  |  0.767 
  26  | 2.600255e+02 | 0.400 | 2.0000e-01 | 5.000 | 1.000 |  0.500  |  0.768 
  27  | 2.602282e+02 | 0.400 | 2.0000e-01 | 5.000 | 1.000 |  0.500  |  0.767 
  28  | 2.599585e+02 | 0.400 | 2.0000e-01 | 5.000 | 1.000 |  0.500  |  0.770 
  29  | 2.601579e+02 | 0.400 | 2.0000e-01 | 5.000 | 1.000 |  0.500  |  0.767 
  30  | 2.598313e+02 | 0.400 | 2.0000e-01 | 5.000 | 1.000 |  0.500  |  0.769 
  31  | 2.600839e+02 | 0.400 | 2.0000e-01 | 5.000 | 1.000 |  0.500  |  0.765 
  32  | 2.597471e+02 | 0.400 | 2.0000e-01 | 5.000 | 1.000 |  0.500  |  0.768 
  33  | 2.600322e+02 | 0.400 | 2.0000e-01 | 5.000 | 1.000 |  0.500  |  0.765 
  34  | 2.596631e+02 | 0.400 | 2.0000e-01 | 5.000 | 1.000 |  0.500  |  0.767 
  35  | 2.599547e+02 | 0.400 | 2.0000e-01 | 5.000 | 1.000 |  0.500  |  0.762 
  36  | 2.595214e+02 | 0.400 | 2.0000e-01 | 5.000 | 1.000 |  0.500  |  0.771 
  37  | 2.598013e+02 | 0.400 | 2.0000e-01 | 5.000 | 1.000 |  0.500  |  0.764 
  38  | 2.593782e+02 | 0.400 | 2.0000e-01 | 5.000 | 1.000 |  0.500  |  0.767 
  39  | 2.597717e+02 | 0.400 | 2.0000e-01 | 5.000 | 1.000 |  0.500  |  0.763 
  40  | 2.593546e+02 | 0.400 | 2.0000e-01 | 5.000 | 1.000 |  0.500  |  0.767 
