[ToPy Problem Definition File v2007]
# TPD file generated by tpd-generator.py

PROB_NAME  : volfrac_0.4_filtrad_1.5_eta_0.5
PROB_TYPE  : comp
VOL_FRAC   : 0.4
NUM_ITER   : 250
ETA        : 0.5
ELEM_K     : Q4
FILT_RAD   : 1.5
P_FAC      : 0.0

DOF_PN     : 2
NUM_ELEM_X : 60
NUM_ELEM_Y : 20
NUM_ELEM_Z : 0
FXTR_NODE_X: 1|21
FXTR_NODE_Y: 1281
LOAD_NODE_Y: 1
LOAD_VALU_Y: -1


TPD file name: volfrac_0.4_filtrad_1.5_eta_0.5.tpd (v2007)
===============================================================================

```
Domain discretisation (NUM_ELEM_X x NUM_ELEM_Y) = 60 x 20
Element type (ELEM_K) = Q4
Filter radius (FILT_RAD) = 1.5
Number of iterations (NUM_ITER) = 250
Problem type (PROB_TYPE) = comp
Problem name (PROB_NAME) = volfrac_0.4_filtrad_1.5_eta_0.5
Continuation of penalisation factor (P_FAC) not specified
GSF not active
Damping factor (ETA) = 0.50
No passive elements (PASV_ELEM) specified
No active elements (ACTV_ELEM) specified
```

-------------------------------------------------------------------------------
 Iter | Obj. func.   | Vol.  | Change     | P_FAC | Q_FAC | Ave ETA | S-V frac. 
 ----:|-------------:|------:|-----------:|------:|------:|--------:|---------:
   1  | 1.258778e+02 | 0.200 | 2.0000e-01 | 0.000 | 1.000 |  0.500  |  0.000 
   2  | 1.258778e+02 | 0.001 | 1.9900e-01 | 0.000 | 1.000 |  0.500  |  1.000 
   3  | 1.258778e+02 | 0.001 | 0.0000e+00 | 0.000 | 1.000 |  0.500  |  1.000 
   4  | 1.258778e+02 | 0.001 | 0.0000e+00 | 0.000 | 1.000 |  0.500  |  1.000 
   5  | 1.258778e+02 | 0.001 | 0.0000e+00 | 0.000 | 1.000 |  0.500  |  1.000 
   6  | 1.258778e+02 | 0.001 | 0.0000e+00 | 0.000 | 1.000 |  0.500  |  1.000 
   7  | 1.258778e+02 | 0.001 | 0.0000e+00 | 0.000 | 1.000 |  0.500  |  1.000 
   8  | 1.258778e+02 | 0.001 | 0.0000e+00 | 0.000 | 1.000 |  0.500  |  1.000 
   9  | 1.258778e+02 | 0.001 | 0.0000e+00 | 0.000 | 1.000 |  0.500  |  1.000 
  10  | 1.258778e+02 | 0.001 | 0.0000e+00 | 0.000 | 1.000 |  0.500  |  1.000 
  11  | 1.258778e+02 | 0.001 | 0.0000e+00 | 0.000 | 1.000 |  0.500  |  1.000 
  12  | 1.258778e+02 | 0.001 | 0.0000e+00 | 0.000 | 1.000 |  0.500  |  1.000 
  13  | 1.258778e+02 | 0.001 | 0.0000e+00 | 0.000 | 1.000 |  0.500  |  1.000 
  14  | 1.258778e+02 | 0.001 | 0.0000e+00 | 0.000 | 1.000 |  0.500  |  1.000 
  15  | 1.258778e+02 | 0.001 | 0.0000e+00 | 0.000 | 1.000 |  0.500  |  1.000 
  16  | 1.258778e+02 | 0.001 | 0.0000e+00 | 0.000 | 1.000 |  0.500  |  1.000 
  17  | 1.258778e+02 | 0.001 | 0.0000e+00 | 0.000 | 1.000 |  0.500  |  1.000 
  18  | 1.258778e+02 | 0.001 | 0.0000e+00 | 0.000 | 1.000 |  0.500  |  1.000 
  19  | 1.258778e+02 | 0.001 | 0.0000e+00 | 0.000 | 1.000 |  0.500  |  1.000 
  20  | 1.258778e+02 | 0.001 | 0.0000e+00 | 0.000 | 1.000 |  0.500  |  1.000 
  21  | 1.258778e+02 | 0.001 | 0.0000e+00 | 0.000 | 1.000 |  0.500  |  1.000 
  22  | 1.258778e+02 | 0.001 | 0.0000e+00 | 0.000 | 1.000 |  0.500  |  1.000 
  23  | 1.258778e+02 | 0.001 | 0.0000e+00 | 0.000 | 1.000 |  0.500  |  1.000 
  24  | 1.258778e+02 | 0.001 | 0.0000e+00 | 0.000 | 1.000 |  0.500  |  1.000 
  25  | 1.258778e+02 | 0.001 | 0.0000e+00 | 0.000 | 1.000 |  0.500  |  1.000 
