[ToPy Problem Definition File v2007]
# TPD file generated by tpd-generator.py

PROB_NAME  : volfrac_0.4_filtrad_1.5_p_1.000_eta_0.5
PROB_TYPE  : comp
VOL_FRAC   : 0.4
NUM_ITER   : 250
ETA        : 0.5
ELEM_K     : Q4
FILT_RAD   : 1.5
P_FAC      : 1.0

DOF_PN     : 2
NUM_ELEM_X : 60
NUM_ELEM_Y : 20
NUM_ELEM_Z : 0
FXTR_NODE_X: 1|21
FXTR_NODE_Y: 1281
LOAD_NODE_Y: 1
LOAD_VALU_Y: -1


TPD file name: volfrac_0.4_filtrad_1.5_p_1.000_eta_0.5.tpd (v2007)
===============================================================================

```
Domain discretisation (NUM_ELEM_X x NUM_ELEM_Y) = 60 x 20
Element type (ELEM_K) = Q4
Filter radius (FILT_RAD) = 1.5
Number of iterations (NUM_ITER) = 250
Problem type (PROB_TYPE) = comp
Problem name (PROB_NAME) = volfrac_0.4_filtrad_1.5_p_1.000_eta_0.5
Continuation of penalisation factor (P_FAC) not specified
GSF not active
Damping factor (ETA) = 0.50
No passive elements (PASV_ELEM) specified
No active elements (ACTV_ELEM) specified
```

-------------------------------------------------------------------------------
 Iter | Obj. func.   | Vol.  | Change     | P_FAC | Q_FAC | Ave ETA | S-V frac. 
 ----:|-------------:|------:|-----------:|------:|------:|--------:|---------:
   1  | 3.146946e+02 | 0.400 | 2.0000e-01 | 1.000 | 1.000 |  0.500  |  0.000 
   2  | 2.385108e+02 | 0.400 | 2.0000e-01 | 1.000 | 1.000 |  0.500  |  0.000 
   3  | 2.099454e+02 | 0.400 | 2.0000e-01 | 1.000 | 1.000 |  0.500  |  0.087 
   4  | 1.956763e+02 | 0.400 | 1.5564e-01 | 1.000 | 1.000 |  0.500  |  0.123 
   5  | 1.934985e+02 | 0.400 | 7.9832e-02 | 1.000 | 1.000 |  0.500  |  0.144 
   6  | 1.928689e+02 | 0.400 | 5.1710e-02 | 1.000 | 1.000 |  0.500  |  0.154 
   7  | 1.925962e+02 | 0.400 | 3.2405e-02 | 1.000 | 1.000 |  0.500  |  0.158 
   8  | 1.924508e+02 | 0.400 | 2.1105e-02 | 1.000 | 1.000 |  0.500  |  0.163 
   9  | 1.923623e+02 | 0.400 | 1.5452e-02 | 1.000 | 1.000 |  0.500  |  0.163 
  10  | 1.923041e+02 | 0.400 | 1.1505e-02 | 1.000 | 1.000 |  0.500  |  0.166 
  11  | 1.922631e+02 | 0.400 | 8.8318e-03 | 1.000 | 1.000 |  0.500  |  0.168 
  12  | 1.922334e+02 | 0.400 | 6.7865e-03 | 1.000 | 1.000 |  0.500  |  0.169 
  13  | 1.922112e+02 | 0.400 | 5.3537e-03 | 1.000 | 1.000 |  0.500  |  0.170 
  14  | 1.921942e+02 | 0.400 | 4.6639e-03 | 1.000 | 1.000 |  0.500  |  0.171 
  15  | 1.921809e+02 | 0.400 | 4.0614e-03 | 1.000 | 1.000 |  0.500  |  0.171 
  16  | 1.921703e+02 | 0.400 | 3.5357e-03 | 1.000 | 1.000 |  0.500  |  0.171 
  17  | 1.921617e+02 | 0.400 | 3.0780e-03 | 1.000 | 1.000 |  0.500  |  0.171 
  18  | 1.921548e+02 | 0.400 | 2.6798e-03 | 1.000 | 1.000 |  0.500  |  0.171 
  19  | 1.921491e+02 | 0.400 | 2.3337e-03 | 1.000 | 1.000 |  0.500  |  0.172 
  20  | 1.921443e+02 | 0.400 | 2.0381e-03 | 1.000 | 1.000 |  0.500  |  0.172 
  21  | 1.921404e+02 | 0.400 | 1.7831e-03 | 1.000 | 1.000 |  0.500  |  0.172 
  22  | 1.921371e+02 | 0.400 | 1.5599e-03 | 1.000 | 1.000 |  0.500  |  0.172 
  23  | 1.921343e+02 | 0.400 | 1.3646e-03 | 1.000 | 1.000 |  0.500  |  0.172 
  24  | 1.921320e+02 | 0.400 | 1.1938e-03 | 1.000 | 1.000 |  0.500  |  0.172 
