TPD file name: p_1.0_10.0_4.0_0.1_1.0.tpd (v2007)
===============================================================================

```
Domain discretisation (NUM_ELEM_X x NUM_ELEM_Y) = 60 x 20
Element type (ELEM_K) = Q4
Filter radius (FILT_RAD) = 1.1
Number of iterations (NUM_ITER) = 250
Problem type (PROB_TYPE) = comp
Problem name (PROB_NAME) = p_1.0_10.0_4.0_0.1_1.0
GSF not active
Damping factor (ETA) = 0.50
No passive elements (PASV_ELEM) specified
No active elements (ACTV_ELEM) specified
```

-------------------------------------------------------------------------------
 Iter | Obj. func.   | Vol.  | Change     | P_FAC | Q_FAC | Ave ETA | S-V frac. 
 ----:|-------------:|------:|-----------:|------:|------:|--------:|---------:
   1  | 3.146946e+02 | 0.400 | 2.0000e-01 | 1.000 | 1.000 |  0.500  |  0.000 
   2  | 2.383575e+02 | 0.400 | 2.0000e-01 | 1.000 | 1.000 |  0.500  |  0.000 
   3  | 2.096072e+02 | 0.400 | 2.0000e-01 | 1.000 | 1.000 |  0.500  |  0.090 
   4  | 1.951859e+02 | 0.400 | 1.6704e-01 | 1.000 | 1.000 |  0.500  |  0.126 
   5  | 1.931026e+02 | 0.400 | 9.3392e-02 | 1.000 | 1.000 |  0.500  |  0.151 
   6  | 1.924936e+02 | 0.400 | 6.4707e-02 | 1.000 | 1.000 |  0.500  |  0.160 
   7  | 1.922185e+02 | 0.400 | 4.4284e-02 | 1.000 | 1.000 |  0.500  |  0.168 
   8  | 1.920645e+02 | 0.400 | 3.2736e-02 | 1.000 | 1.000 |  0.500  |  0.175 
   9  | 1.919670e+02 | 0.400 | 2.4972e-02 | 1.000 | 1.000 |  0.500  |  0.177 
  10  | 1.918999e+02 | 0.400 | 1.9786e-02 | 1.000 | 1.000 |  0.500  |  0.180 
  11  | 1.918514e+02 | 0.400 | 1.5609e-02 | 1.100 | 1.000 |  0.500  |  0.182 
  12  | 2.009099e+02 | 0.400 | 5.5132e-02 | 1.200 | 1.000 |  0.500  |  0.182 
  13  | 2.103486e+02 | 0.400 | 7.5601e-02 | 1.300 | 1.000 |  0.500  |  0.176 
  14  | 2.201155e+02 | 0.400 | 7.7170e-02 | 1.400 | 1.000 |  0.500  |  0.177 
  15  | 2.301975e+02 | 0.400 | 7.3038e-02 | 1.500 | 1.000 |  0.500  |  0.173 
  16  | 2.405655e+02 | 0.400 | 6.6836e-02 | 1.600 | 1.000 |  0.500  |  0.179 
  17  | 2.511520e+02 | 0.400 | 7.0092e-02 | 1.700 | 1.000 |  0.500  |  0.183 
  18  | 2.618407e+02 | 0.400 | 8.3821e-02 | 1.800 | 1.000 |  0.500  |  0.188 
  19  | 2.724993e+02 | 0.400 | 9.0992e-02 | 1.900 | 1.000 |  0.500  |  0.193 
  20  | 2.830035e+02 | 0.400 | 9.3342e-02 | 2.000 | 1.000 |  0.500  |  0.199 
  21  | 2.932432e+02 | 0.400 | 9.2814e-02 | 2.100 | 1.000 |  0.500  |  0.201 
  22  | 3.031058e+02 | 0.400 | 9.0031e-02 | 2.200 | 1.000 |  0.500  |  0.208 
  23  | 3.124424e+02 | 0.400 | 9.0110e-02 | 2.300 | 1.000 |  0.500  |  0.218 
  24  | 3.212456e+02 | 0.400 | 8.4194e-02 | 2.400 | 1.000 |  0.500  |  0.221 
  25  | 3.296891e+02 | 0.400 | 9.5589e-02 | 2.500 | 1.000 |  0.500  |  0.223 
  26  | 3.376885e+02 | 0.400 | 1.1562e-01 | 2.600 | 1.000 |  0.500  |  0.247 
  27  | 3.442866e+02 | 0.400 | 1.3781e-01 | 2.700 | 1.000 |  0.500  |  0.259 
  28  | 3.475620e+02 | 0.400 | 1.5897e-01 | 2.800 | 1.000 |  0.500  |  0.272 
  29  | 3.451128e+02 | 0.400 | 2.0000e-01 | 2.900 | 1.000 |  0.500  |  0.292 
  30  | 3.357465e+02 | 0.400 | 2.0000e-01 | 3.000 | 1.000 |  0.500  |  0.320 
