➜ python ../scripts/exec-optimise.py ../mbb_beam/beam_2d_reci_gsf_fine.tpd
TPD file name: ../mbb_beam/beam_2d_reci_gsf_fine.tpd (v2007)
===============================================================================

```
Domain discretisation (NUM_ELEM_X x NUM_ELEM_Y) = 600 x 200
Element type (ELEM_K) = Q4
Filter radius (FILT_RAD) = 15.0
Number of iterations (NUM_ITER) = 100
Problem type (PROB_TYPE) = comp
Problem name (PROB_NAME) = beam_2d_reci_gsf_fine
GSF active
Damping factor (ETA) = 0.50
No passive elements (PASV_ELEM) specified
No active elements (ACTV_ELEM) specified
```

-------------------------------------------------------------------------------
 Iter | Obj. func.   | Vol.  | Change     | P_FAC | Q_FAC | Ave ETA | S-V frac. 
 ----:|-------------:|------:|-----------:|------:|------:|--------:|---------:
   1  | 2.677795e+02 | 0.500 | 2.0000e-01 | 1.000 | 1.000 |  0.500  |  0.000 
   2  | 2.094964e+02 | 0.500 | 2.0000e-01 | 1.000 | 1.000 |  0.500  |  0.000 
   3  | 1.832492e+02 | 0.500 | 1.9609e-01 | 1.000 | 1.000 |  0.500  |  0.183 
   4  | 1.743263e+02 | 0.500 | 1.3751e-01 | 1.000 | 1.000 |  0.500  |  0.205 
   5  | 1.735931e+02 | 0.500 | 7.5845e-02 | 1.000 | 1.000 |  0.500  |  0.216 
   6  | 1.733524e+02 | 0.500 | 4.8677e-02 | 1.000 | 1.000 |  0.500  |  0.223 
   7  | 1.732345e+02 | 0.500 | 3.3483e-02 | 1.000 | 1.000 |  0.500  |  0.227 
   8  | 1.731652e+02 | 0.500 | 2.3673e-02 | 1.000 | 1.000 |  0.500  |  0.229 
   9  | 1.731202e+02 | 0.500 | 1.8745e-02 | 1.000 | 1.000 |  0.500  |  0.231 
  10  | 1.730889e+02 | 0.500 | 1.5396e-02 | 1.000 | 1.000 |  0.500  |  0.233 
  11  | 1.730661e+02 | 0.500 | 1.2671e-02 | 1.000 | 1.000 |  0.500  |  0.234 
  12  | 1.730490e+02 | 0.500 | 1.0464e-02 | 1.000 | 1.000 |  0.500  |  0.234 
  13  | 1.730357e+02 | 0.500 | 8.7412e-03 | 1.000 | 1.000 |  0.500  |  0.235 
  14  | 1.730253e+02 | 0.500 | 7.5838e-03 | 1.000 | 1.000 |  0.500  |  0.235 
  15  | 1.730169e+02 | 0.500 | 6.5786e-03 | 1.000 | 1.000 |  0.500  |  0.236 
  16  | 1.730102e+02 | 0.500 | 5.7057e-03 | 1.000 | 1.000 |  0.500  |  0.236 
  17  | 1.730046e+02 | 0.500 | 4.9488e-03 | 1.000 | 1.000 |  0.500  |  0.236 
  18  | 1.730000e+02 | 0.500 | 4.2930e-03 | 1.000 | 1.000 |  0.500  |  0.237 
  19  | 1.729962e+02 | 0.500 | 3.7250e-03 | 1.000 | 1.000 |  0.500  |  0.237 
  20  | 1.729930e+02 | 0.500 | 3.2332e-03 | 1.000 | 1.000 |  0.500  |  0.237 
  21  | 1.729903e+02 | 0.500 | 2.8069e-03 | 1.000 | 1.000 |  0.500  |  0.237 
  22  | 1.729880e+02 | 0.500 | 2.4376e-03 | 1.000 | 1.000 |  0.500  |  0.237 
  23  | 1.729860e+02 | 0.500 | 2.1176e-03 | 1.000 | 1.000 |  0.500  |  0.237 
  24  | 1.729843e+02 | 0.500 | 1.8401e-03 | 1.000 | 1.000 |  0.500  |  0.238 
  25  | 1.729829e+02 | 0.500 | 1.5993e-03 | 1.000 | 1.000 |  0.500  |  0.238 
  26  | 1.729817e+02 | 0.500 | 4.1706e-02 | 1.200 | 1.050 |  0.500  |  0.246 
  27  | 1.838835e+02 | 0.500 | 1.0146e-01 | 1.400 | 1.100 |  0.500  |  0.252 
  28  | 1.956784e+02 | 0.500 | 1.5911e-01 | 1.600 | 1.150 |  0.500  |  0.258 
  29  | 2.080484e+02 | 0.500 | 2.0000e-01 | 1.800 | 1.200 |  0.500  |  0.266 
  30  | 2.207420e+02 | 0.500 | 2.0000e-01 | 2.000 | 1.250 |  0.500  |  0.277 
  31  | 2.334245e+02 | 0.500 | 2.0000e-01 | 2.200 | 1.300 |  0.500  |  0.304 
  32  | 2.454032e+02 | 0.500 | 2.0000e-01 | 2.400 | 1.350 |  0.500  |  0.322 
  33  | 2.558802e+02 | 0.500 | 2.0000e-01 | 2.600 | 1.400 |  0.500  |  0.340 
  34  | 2.650683e+02 | 0.500 | 2.0000e-01 | 2.800 | 1.450 |  0.500  |  0.365 
  35  | 2.693267e+02 | 0.500 | 2.0000e-01 | 3.000 | 1.500 |  0.500  |  0.390 
  36  | 2.631999e+02 | 0.500 | 2.0000e-01 | 3.000 | 1.550 |  0.500  |  0.442 
  37  | 2.420347e+02 | 0.500 | 2.0000e-01 | 3.000 | 1.600 |  0.500  |  0.527 
  38  | 2.262977e+02 | 0.500 | 2.0000e-01 | 3.000 | 1.650 |  0.500  |  0.607 
  39  | 2.139971e+02 | 0.500 | 2.0000e-01 | 3.000 | 1.700 |  0.500  |  0.752 
  40  | 2.072778e+02 | 0.500 | 2.0000e-01 | 3.000 | 1.750 |  0.500  |  0.807 
  41  | 2.038582e+02 | 0.500 | 2.0000e-01 | 3.000 | 1.800 |  0.500  |  0.839 
  42  | 2.019353e+02 | 0.500 | 2.0000e-01 | 3.000 | 1.850 |  0.500  |  0.862 
  43  | 2.009014e+02 | 0.500 | 2.0000e-01 | 3.000 | 1.900 |  0.500  |  0.877 
  44  | 2.001502e+02 | 0.500 | 2.0000e-01 | 3.000 | 1.950 |  0.500  |  0.890 
  45  | 1.995614e+02 | 0.500 | 2.0000e-01 | 3.000 | 2.000 |  0.500  |  0.902 
  46  | 1.990183e+02 | 0.500 | 2.0000e-01 | 3.000 | 2.050 |  0.500  |  0.914 
  47  | 1.985863e+02 | 0.500 | 2.0000e-01 | 3.000 | 2.100 |  0.500  |  0.924 
  48  | 1.982253e+02 | 0.500 | 2.0000e-01 | 3.000 | 2.150 |  0.500  |  0.934 
  49  | 1.978788e+02 | 0.500 | 2.0000e-01 | 3.000 | 2.200 |  0.500  |  0.942 
  50  | 1.975340e+02 | 0.500 | 2.0000e-01 | 3.000 | 2.250 |  0.500  |  0.950 
  51  | 1.972589e+02 | 0.500 | 2.0000e-01 | 3.000 | 2.300 |  0.500  |  0.957 
  52  | 1.970311e+02 | 0.500 | 2.0000e-01 | 3.000 | 2.350 |  0.500  |  0.964 
  53  | 1.968311e+02 | 0.500 | 2.0000e-01 | 3.000 | 2.400 |  0.500  |  0.970 
  54  | 1.966537e+02 | 0.500 | 2.0000e-01 | 3.000 | 2.450 |  0.500  |  0.975 
  55  | 1.965037e+02 | 0.500 | 2.0000e-01 | 3.000 | 2.500 |  0.500  |  0.981 
  56  | 1.963820e+02 | 0.500 | 2.0000e-01 | 3.000 | 2.550 |  0.500  |  0.984 
  57  | 1.962849e+02 | 0.500 | 2.0000e-01 | 3.000 | 2.600 |  0.500  |  0.988 
  58  | 1.962140e+02 | 0.500 | 2.0000e-01 | 3.000 | 2.650 |  0.500  |  0.990 
  59  | 1.961581e+02 | 0.500 | 2.0000e-01 | 3.000 | 2.700 |  0.500  |  0.993 
  60  | 1.961098e+02 | 0.500 | 2.0000e-01 | 3.000 | 2.750 |  0.500  |  0.995 
  61  | 1.960738e+02 | 0.500 | 2.0000e-01 | 3.000 | 2.800 |  0.500  |  0.996 
  62  | 1.960467e+02 | 0.500 | 2.0000e-01 | 3.000 | 2.850 |  0.500  |  0.997 
  63  | 1.960279e+02 | 0.500 | 2.0000e-01 | 3.000 | 2.900 |  0.500  |  0.998 
  64  | 1.960155e+02 | 0.500 | 2.0000e-01 | 3.000 | 2.950 |  0.500  |  0.999 
  65  | 1.960057e+02 | 0.500 | 2.0000e-01 | 3.000 | 3.000 |  0.500  |  0.999 
  66  | 1.959971e+02 | 0.500 | 2.0000e-01 | 3.000 | 3.050 |  0.500  |  0.999 
  67  | 1.959908e+02 | 0.500 | 2.0000e-01 | 3.000 | 3.100 |  0.500  |  1.000 
  68  | 1.959876e+02 | 0.500 | 2.0000e-01 | 3.000 | 3.150 |  0.500  |  1.000 
  69  | 1.959862e+02 | 0.500 | 1.7732e-01 | 3.000 | 3.200 |  0.500  |  1.000 
  70  | 1.959854e+02 | 0.500 | 2.0000e-01 | 3.000 | 3.250 |  0.500  |  1.000 
  71  | 1.959846e+02 | 0.500 | 2.0000e-01 | 3.000 | 3.300 |  0.500  |  1.000 
  72  | 1.959837e+02 | 0.500 | 2.0000e-01 | 3.000 | 3.350 |  0.500  |  1.000 
  73  | 1.959832e+02 | 0.500 | 5.1650e-02 | 3.000 | 3.400 |  0.500  |  1.000 
  74  | 1.959831e+02 | 0.500 | 1.8514e-02 | 3.000 | 3.450 |  0.500  |  1.000 
  75  | 1.959830e+02 | 0.500 | 1.4529e-02 | 3.000 | 3.500 |  0.500  |  1.000 
  76  | 1.959829e+02 | 0.500 | 1.5840e-08 | 3.000 | 3.550 |  0.500  |  1.000 
  77  | 1.959829e+02 | 0.500 | 4.9826e-08 | 3.000 | 3.600 |  0.500  |  1.000 
  78  | 1.959829e+02 | 0.500 | 1.0339e-08 | 3.000 | 3.650 |  0.500  |  1.000 
  79  | 1.959829e+02 | 0.500 | 3.2098e-08 | 3.000 | 3.700 |  0.500  |  1.000 
  80  | 1.959829e+02 | 0.500 | 1.8352e-08 | 3.000 | 3.750 |  0.500  |  1.000 
  81  | 1.959829e+02 | 0.500 | 1.1536e-08 | 3.000 | 3.800 |  0.500  |  1.000 
